DIM_GEOGRAPHY_KEY,LATITUDE,LONGITUDE,ISO2_CODE,ISO3_CODE,COUNTRY,ADMIN_REGION,ISO_SUB_DIVISION,ADMIN_REGION_2,RECID
42.63377_-75.03252,42.63377,-75.03252,US,USA,United States,New York,US-NY,Otsego County,5295
42.63665_-97.89198,42.63665,-97.89198,US,USA,United States,Nebraska,US-NE,Knox County,3155
42.6501_-70.94023,42.6501,-70.94023,US,USA,United States,Massachusetts,US-MA,Essex County,2813
42.66037_-83.3858,42.66037,-83.3858,US,USA,United States,Michigan,US-MI,Oakland County,2914
42.6605_-90.13179,42.6605,-90.13179,US,USA,United States,Wisconsin,US-WI,Lafayette County,4373
42.70243_-78.22443,42.70243,-78.22443,US,USA,United States,New York,US-NY,Wyoming County,5191
42.71086_-73.50974,42.71086,-73.50974,US,USA,United States,New York,US-NY,Rensselaer County,5397
42.71966_-103.1354,42.71966,-103.1354,US,USA,United States,Nebraska,US-NE,Dawes County,4563
42.72808_-77.77544,42.72808,-77.77544,US,USA,United States,New York,US-NY,Livingston County,4535
42.73155_-92.79015,42.73155,-92.79015,US,USA,United States,Iowa,US-IA,Butler County,2755
42.7325_-93.26249,42.7325,-93.26249,US,USA,United States,Iowa,US-IA,Franklin County,3075
42.73313_-93.7351,42.73313,-93.7351,US,USA,United States,Iowa,US-IA,Wright County,5001
42.73411_-94.67874,42.73411,-94.67874,US,USA,United States,Iowa,US-IA,Pocahontas County,5341
42.7355_-95.15113,42.7355,-95.15113,US,USA,United States,Iowa,US-IA,Buena Vista County,3192
42.7356_-95.62379,42.7356,-95.62379,US,USA,United States,Iowa,US-IA,Cherokee County,5527
42.73783_-96.21406,42.73783,-96.21406,US,USA,United States,Iowa,US-IA,Plymouth County,5084
42.74939_-87.68768,42.74939,-87.68768,US,USA,United States,Wisconsin,US-WI,Racine County,3049
42.75813_-78.77778,42.75813,-78.77778,US,USA,United States,New York,US-NY,Erie County,5470
42.76685_-109.9147,42.76685,-109.9147,US,USA,United States,Wyoming,US-WY,Sublette County,5514
42.7705_-111.5622,42.7705,-111.5622,US,USA,United States,Idaho,US-ID,Caribou County,3033
42.77457_-92.31802,42.77457,-92.31802,US,USA,United States,Iowa,US-IA,Bremer County,5564
42.77643_-94.20715,42.77643,-94.20715,US,USA,United States,Iowa,US-IA,Humboldt County,4916
42.57724_-87.69383,42.57724,-87.69383,US,USA,United States,Wisconsin,US-WI,Kenosha County,2855
42.57724_-87.69384,42.57724,-87.69384,US,USA,United States,Wisconsin,US-WI,Kenosha County,5532
42.58147_-116.17,42.58147,-116.17,US,USA,United States,Idaho,US-ID,Owyhee County,4289
42.66852_-112.2247,42.66852,-112.2247,US,USA,United States,Idaho,US-ID,Bannock County,4923
42.66853_-88.54195,42.66853,-88.54195,US,USA,United States,Wisconsin,US-WI,Walworth County,2599
42.67121_-89.07156,42.67121,-89.07156,US,USA,United States,Wisconsin,US-WI,Rock County,3374
42.67306_-82.9104,42.67306,-82.9104,US,USA,United States,Michigan,US-MI,Macomb County,4352
42.67997_-89.60227,42.67997,-89.60227,US,USA,United States,Wisconsin,US-WI,Green County,4360
42.68644_-121.6502,42.68644,-121.6502,US,USA,United States,Oregon,US-OR,Klamath County,3595
42.68989_-114.264,42.68989,-114.264,US,USA,United States,Idaho,US-ID,Jerome County,5408
42.69366_-112.8407,42.69366,-112.8407,US,USA,United States,Idaho,US-ID,Power County,3752
42.24544_-85.53117,42.24544,-85.53117,US,USA,United States,Michigan,US-MI,Kalamazoo County,4506
42.24653_-85.00558,42.24653,-85.00558,US,USA,United States,Michigan,US-MI,Calhoun County,2835
42.24848_-84.42345,42.24848,-84.42345,US,USA,United States,Michigan,US-MI,Jackson County,4696
42.2486_-78.67881,42.2486,-78.67881,US,USA,United States,New York,US-NY,Cattaraugus County,5034
42.25001_-73.63186,42.25001,-73.63186,US,USA,United States,New York,US-NY,Columbia County,3947
42.25323_-83.83878,42.25323,-83.83878,US,USA,United States,Michigan,US-MI,Washtenaw County,5669
42.2574_-78.02756,42.2574,-78.02756,US,USA,United States,New York,US-NY,Allegany County,5066
42.26405_-110.656,42.26405,-110.656,US,USA,United States,Wyoming,US-WY,Lincoln County,5330
42.26439_-97.6013,42.26439,-97.6013,US,USA,United States,Nebraska,US-NE,Pierce County,2543
42.26783_-77.38383,42.26783,-77.38383,US,USA,United States,New York,US-NY,Steuben County,3722
42.27655_-74.12262,42.27655,-74.12262,US,USA,United States,New York,US-NY,Greene County,3371
42.28389_-113.6003,42.28389,-113.6003,US,USA,United States,Idaho,US-ID,Cassia County,4427
42.28404_-83.2644,42.28404,-83.2644,US,USA,United States,Michigan,US-MI,Wayne County,2741
42.99062_-72.71391,42.99062,-72.71391,US,USA,United States,Vermont,US-VT,Windham County,2779
42.99958_-107.5515,42.99958,-107.5515,US,USA,United States,Wyoming,US-WY,,2820
43.00042_-90.13535,43.00042,-90.13535,US,USA,United States,Wisconsin,US-WI,Iowa County,2757
43.00094_-78.1937,43.00094,-78.1937,US,USA,United States,New York,US-NY,Genesee County,5182
43.00236_-114.1382,43.00236,-114.1382,US,USA,United States,Idaho,US-ID,Lincoln County,2606
43.00579_-76.19466,43.00579,-76.19466,US,USA,United States,New York,US-NY,Onondaga County,4553
43.00969_-97.39505,43.00969,-97.39505,US,USA,United States,South Dakota,US-SD,Yankton County,3715
43.01104_-76.57458,43.01104,-76.57458,US,USA,United States,New York,US-NY,Cayuga County,2547
